week_of_season,home_users,away_users,concurrent_games,last_5_handle_all,home_team_popularity,away_team_popularity,handle,time_slot_fri,time_slot_mon_early,time_slot_mon_late,time_slot_mon_mid,time_slot_odd_days,time_slot_sun,time_slot_tues
17.0,0,0,5,9844202.40000009,0.8254232761762634,0.3575244985913692,82335.5999999999,0,1,0,0,0,0,0
20.0,918,0,1,8723726.79999997,0.331583986719325,0.8254232761762634,76318.4999999999,0,0,0,0,0,1,0
6.0,0,44855,2,1644923.2,0.8254232761762634,0.8168625318717228,124671.1,0,1,0,0,0,0,0
10.0,0,0,4,12780718.8000001,0.5427956557959114,0.3575244985913692,84233.5999999998,0,1,0,0,0,0,0
9.0,6585,0,1,16568068.2000002,0.331583986719325,0.6377146701015695,216579.200000001,0,0,0,1,0,0,0
14.0,0,0,1,14898796.6000001,0.3299480081608649,0.1198149204140322,298234.500000002,1,0,0,0,0,0,0
13.0,0,48514,4,15357991.0000001,0.1198149204140322,0.754838704140411,532576.399999999,0,1,0,0,0,0,0
10.0,11222,0,1,12780718.8000001,0.331583986719325,0.3299480081608649,424889.700000001,1,0,0,0,0,0,0
9.0,11903,11199,1,14590179.0000002,0.598884493767287,0.331583986719325,213313.8,0,0,0,1,0,0,0
12.0,0,8071,3,16592417.8000003,0.3022048367848109,1.0,173883.500000001,0,1,0,0,0,0,0
7.0,11014,0,1,9670600.20000021,0.331583986719325,0.0,130068.4,0,0,0,1,0,0,0
11.0,0,0,3,13303006.0000002,0.3299480081608649,0.0,98352.3999999999,0,1,0,0,0,0,0
13.0,0,531,5,13768457.6000001,0.5427956557959114,0.598884493767287,46032.0999999999,0,1,0,0,0,0,0
12.0,695,695,2,13317236.8000001,0.331583986719325,1.0,56857.8999999999,0,0,0,1,0,0,0
15.0,30309,30309,3,9957734.40000001,0.8168625318717228,0.754838704140411,126602.7,0,0,0,1,0,0,0
10.0,47375,6857,3,14286050.6000001,0.8168625318717228,0.331583986719325,205115.900000001,0,1,0,0,0,0,0
17.0,0,0,1,11193586.4000001,0.6377146701015695,0.5427956557959114,658079.099999999,0,0,1,0,0,0,0
9.0,0,0,4,14590179.0000002,0.3299480081608649,0.3022048367848109,58716.9999999999,0,1,0,0,0,0,0
20.0,269,0,3,8723726.79999997,0.2702217966698324,0.2538232415802337,45431.7,0,1,0,0,0,0,0
10.0,0,0,3,14286050.6000001,0.0,0.2538232415802337,70181.6999999999,0,1,0,0,0,0,0
23.0,50987,0,1,12763111.6,0.8168625318717228,0.5427956557959114,664173.499999995,0,0,0,0,0,0,1
8.0,20260,0,2,13592788.2000002,0.8168625318717228,0.0,144182.6,0,1,0,0,0,0,0
18.0,49713,0,1,11391412.4000001,0.8168625318717228,0.6377146701015695,240633.800000001,0,0,0,1,0,0,0
23.0,0,0,4,12763111.6,0.0,0.3022048367848109,102969.2,0,1,0,0,0,0,0
10.0,0,1268,4,12780718.8000001,0.1198149204140322,0.2702217966698324,86421.8999999998,0,1,0,0,0,0,0
21.0,50504,0,4,10943996.9999999,0.754838704140411,0.6377146701015695,129129.7,0,1,0,0,0,0,0
23.0,10580,0,1,12763111.6,0.598884493767287,0.3575244985913692,620178.399999996,0,0,1,0,0,0,0
