home_team,away_team,time_slot,year,week_of_season,home_users,away_users,all_users,concurrent_games,last_5_handle_all,last_5_handle_home,last_5_handle_away,all_registered,is_faux_future,handle
Hungry Harpys,Bellicose Bluejays,mon_mid,2019.0,4.0,43559,477,44036,1,591467.4,,14673.4,49922,False,41317.3
Pirate Poodles,Bellicose Bluejays,mon_mid,2019.0,6.0,0,543,543,2,1644923.2,84601.0000000003,121925.5,57111,False,83038.8999999999
Earnest Eagles,Bellicose Bluejays,mon_early,2020.0,7.0,0,1202,1202,4,9670600.20000021,1897921.80000012,412261.600000002,78633,False,120157.7
Terrible Ticks,Bellicose Bluejays,mon_mid,2019.0,8.0,7826,619,8445,2,13769351.2000002,1391799.30000007,517745.900000003,61022,False,307849.1
Fleeting Felines,Bellicose Bluejays,odd_days,2018.0,8.0,147,147,294,1,13592788.2000002,318588.000000002,877061.800000001,19525,False,196258.900000001
Hungry Harpys,Bellicose Bluejays,fri,2020.0,9.0,54960,1240,56200,1,14590179.0000002,1129084.40000001,990281.799999998,79243,False,459178.100000001
Wonder Whales,Bellicose Bluejays,mon_early,2020.0,10.0,0,1268,1268,4,12780718.8000001,590931.799999999,1296504.29999999,79717,False,86421.8999999998
Fleeting Felines,Bellicose Bluejays,mon_early,2019.0,11.0,727,727,1454,3,13303006.0000002,969503.300000013,1009283.89999999,64498,False,350872.9
Snappy Snakes,Bellicose Bluejays,mon_early,2019.0,13.0,0,774,774,4,15357991.0000001,1440604.99999999,1201437.89999999,66856,False,107797.3
Wonder Whales,Bellicose Bluejays,mon_early,2019.0,16.0,0,826,826,3,11343326.6,1020504.49999999,993709.999999993,68341,False,58211.6999999999
Ramblin Rabbits,Bellicose Bluejays,mon_mid,2018.0,16.0,857,250,1107,2,9420223.20000005,1497373.40000003,997557.199999993,32798,False,77982.2999999999
Wonder Whales,Bellicose Bluejays,mon_early,2018.0,17.0,0,262,262,5,9844202.40000009,1040435.19999999,724666.599999995,33830,False,31451.8
Snappy Snakes,Bellicose Bluejays,mon_early,2018.0,22.0,0,283,283,4,9757519.79999996,1182755.10000001,239562.700000001,36523,False,66670.0999999999
Hopeful Hens,Bellicose Bluejays,mon_early,2019.0,22.0,0,941,941,4,8749753.59999994,554262.4,274781.000000001,71770,False,117710.8
Fleeting Felines,Cyclic Cobras,sun,2019.0,2.0,460,0,460,1,385845.800000001,83821.8000000003,,48286,False,11985.8
Fleeting Felines,Cyclic Cobras,odd_days,2020.0,2.0,1098,0,1098,1,361874.200000001,72838.6000000003,11985.8,76279,False,10983.2
Devilish Deer ,Cyclic Cobras,mon_mid,2019.0,6.0,5473,0,5473,2,1644923.2,,22969.0,57111,False,244903.700000001
Intense Iguanas,Cyclic Cobras,mon_mid,2019.0,10.0,0,0,0,1,14286050.6000001,959967.899999988,906763.099999991,63537,False,179647.100000001
Lucky Leopards,Cyclic Cobras,mon_early,2018.0,11.0,25554,0,25554,4,12500701.2000001,765462.399999997,840261.199999993,26921,False,126125.2
Hungry Harpys,Cyclic Cobras,mon_early,2018.0,12.0,27553,0,27553,3,13317236.8000001,1079551.69999998,895867.399999993,28996,False,47702.3999999999
Hungry Harpys,Cyclic Cobras,mon_early,2019.0,14.0,48755,0,48755,3,14898796.6000001,1184035.79999999,1572508.60000003,67387,False,392598.699999999
Pirate Poodles,Cyclic Cobras,mon_early,2019.0,15.0,0,0,0,3,13716633.0000001,448579.0,1897638.70000002,67894,False,143881.7
